"","X.1","household_key","QUANTITY","BASE_SPEND_AMT","NET_SPEND_AMT","LOY_CARD_DISC","COUPON_DISC","GET_EGGS","WEEK","NEXT_EGGS","X","BASKET_ID","PRODUCT_ID","AGE_DESC","MARITAL_STATUS_CODE","INCOME_DESC","HOMEOWNER_DESC","HH_COMP_DESC","HOUSEHOLD_SIZE_DESC","KID_CATEGORY_DESC","DEPARTMENT","COMMODITY_DESC","SUB_COMMODITY_DESC"
"3753",3753,142,16,52.49,45.28,-7.21,0,0,28,0,769,34642001138,997011,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN MEAT/MEAT DINNERS","FRZN BREADED PREPARED CHICK"
"3781",3781,143,8,33.79,27.82,-5.97,0,0,28,0,1562,34642243009,827047,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN NOVELTIES/WTR ICE","STICKS/ENROBED"
"3809",3809,144,0,0,0,0,0,0,28,0,26266,35333858380,1065593,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BATH TISSUES","TOILET TISSUE"
"3837",3837,145,25,117.19,89.5,-27.69,0,0,28,0,26439,35333907859,862732,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"3865",3865,146,0,0,0,0,0,0,28,0,880,34642062501,885070,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","BREAKFAST SAUSAGE/SANDWICHES","PATTIES - RAW"
"3893",3893,147,0,0,0,0,0,0,28,1,2749,34642692492,827047,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN NOVELTIES/WTR ICE","STICKS/ENROBED"
"3921",3921,148,7,26.55,21.02,-5.53,0,0,28,0,18108,35080927150,1085604,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX"
"3949",3949,149,0,0,0,0,0,0,28,0,6936,34762191669,834484,"45-54","U","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","PRODUCE","ONIONS","ONIONS OTHER"
"3977",3977,150,0,0,0,0,0,0,28,0,150755,40800686470,1125278,NA,NA,NA,NA,NA,NA,NA,"DELI","CHICKEN/POULTRY","CHIX: ROTISSERIE (HOT)"
"4005",4005,151,0,0,0,0,0,0,28,0,57948,36029326705,5569230,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SOFT DRINKS 12/18&15PK CAN CAR"
"4033",4033,152,0,0,0,0,0,0,28,0,44850,35701676229,902396,NA,NA,NA,NA,NA,NA,NA,"GROCERY","PAPER HOUSEWARES","PLASTIC CUPS"
"4061",4061,153,17,24.22,19.55,-4.67,0,0,28,0,12159,34850755479,897954,NA,NA,NA,NA,NA,NA,NA,"MEAT","CHICKEN","CHICKEN BREAST BONELESS"
"4089",4089,154,0,0,0,0,0,0,28,0,6036,34749305209,916847,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SPICES & EXTRACTS","SPICES & SEASONINGS"
"4117",4117,155,0,0,0,0,0,0,28,0,28182,35386819880,826249,"35-44","B","50-74K","Homeowner","2 Adults Kids","3","1","GROCERY","BAKED BREAD/BUNS/ROLLS","HAMBURGER BUNS"
"4145",4145,156,12,26.31,23.33,-1.98,-1,0,28,1,5333,34749078757,828805,NA,NA,NA,NA,NA,NA,NA,"NUTRITION","WATER","SPRING WATER"
"4173",4173,157,8,16.06,14.85,-1.21,0,0,28,1,11036,34850313596,14112236,"19-24","U","15-24K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"4201",4201,158,3,10.92,7.89,-3.03,0,0,28,0,670,34641936135,851494,"45-54","U","50-74K","Homeowner","Unknown","1","None/Unknown","GROCERY","CONDIMENTS/SAUCES","VINEGAR ALL-EXCEPT WINE/RIC"
"4229",4229,159,0,0,0,0,0,0,28,1,17444,35080536001,834797,"45-54","U","Under 15K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","MEAT - SHELF STABLE","VIENNA SAUSAGE"
"4257",4257,160,33,100.76,89.38,-11.38,0,1,28,0,32084,35464333761,833351,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN NOVELTIES/WTR ICE","WATER ICE"
"4285",4285,161,88,311.25,249.9,-61.35,0,0,28,0,1745,34642423377,852065,"19-24","A","75-99K","Unknown","2 Adults Kids","3","1","GROCERY","WAREHOUSE SNACKS","CANISTER POTATO/TORT CHIPS"
"4313",4313,162,0,0,0,0,0,0,28,0,2065,34642497056,833724,NA,NA,NA,NA,NA,NA,NA,"GROCERY","EGGS","EGGS - LARGE"
"4341",4341,163,0,0,0,0,0,0,28,0,104597,40411830458,957438,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BEANS - CANNED GLASS & MW","VARIETY BEANS - KIDNEY PINTO"
"4369",4369,164,0,0,0,0,0,0,28,1,4198,34664846224,840361,"45-54","U","35-49K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","EGGS","EGGS - LARGE"
"4397",4397,165,27,108.79,79.57,-29.22,0,1,28,0,2656,34642678498,862349,"55-64","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY"
"4425",4425,166,7,46.17,39.07,-7.1,0,0,28,1,14219,34873172492,825365,"25-34","A","50-74K","Homeowner","2 Adults Kids","3","1","MEAT-PCKGD","LUNCHMEAT","PEPPERONI/SALAMI"
"4453",4453,167,0,0,0,0,0,0,28,0,13458,34851236059,866871,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","GRAPES","GRAPES BLACK/BLUE"
"4481",4481,168,2,2.48,2.48,0,0,0,28,0,50049,35841151862,1068444,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","ORGANICS FRUIT & VEGETABLES","ORGANIC TOMATOES"
"4509",4509,169,0,0,0,0,0,0,28,0,104817,40411925831,1099164,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SOFT DRINKS 12/18&15PK CAN CAR"
"4537",4537,170,0,0,0,0,0,0,28,0,6802,34762113943,830887,"25-34","A","100-124K","Homeowner","2 Adults Kids","4","2","GROCERY","CANNED JUICES","ASEPTIC PACK JUICE AND DRINKS"
"4565",4565,171,60,138.13,113.82,-23.56,-0.75,0,28,0,12078,34850689616,834103,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX"
"4593",4593,172,0,0,0,0,0,0,28,0,6829,34762143516,1044487,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CANNED JUICES","VEG JUICE (EXCEPT TOMATO) (OVE"
"4621",4621,174,0,0,0,0,0,0,28,0,236080,41730402009,820165,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","CITRUS","ORANGES NAVELS ALL"
"4649",4649,175,0,0,0,0,0,0,28,0,24724,35293656876,889731,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED BREAD/BUNS/ROLLS","MAINSTREAM WHEAT/MULTIGRAIN BR"
"4677",4677,176,0,0,0,0,0,0,28,0,15624,35000786052,838563,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CANNED JUICES","ASEPTIC PACK JUICE AND DRINKS"
"4705",4705,177,0,0,0,0,0,0,28,0,6747,34762081765,982112,NA,NA,NA,NA,NA,NA,NA,"PASTRY","COOKIES","COOKIES: REGULAR"
"4733",4733,178,3,4.37,4.37,0,0,0,28,1,258,34641795108,972312,"25-34","A","25-34K","Homeowner","1 Adult Kids","5+","3+","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"4761",4761,179,0,0,0,0,0,0,28,0,31881,35464240770,830701,NA,NA,NA,NA,NA,NA,NA,"GROCERY","VEGETABLES - SHELF STABLE","MUSHROOMS CND & GLASS"
"4789",4789,180,0,0,0,0,0,0,28,0,8698,34812017052,1053690,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"4817",4817,181,0,0,0,0,0,0,28,0,58111,36029396003,845091,NA,NA,NA,NA,NA,NA,NA,"GROCERY","VEGETABLES - SHELF STABLE","SPINACH & GREENS"
"4845",4845,182,0,0,0,0,0,0,28,0,5180,34749020449,824555,NA,NA,NA,NA,NA,NA,NA,"GROCERY","PWDR/CRYSTL DRNK MX","SOFT DRINK POWDER POUCHES"
"4873",4873,183,0,0,0,0,0,0,28,0,14324,34873240873,947858,NA,NA,NA,NA,NA,NA,NA,"MEAT","PORK","ENHANCED"
"4901",4901,184,12,35.73,29.24,-6.09,-0.4,0,28,0,7501,34762346378,896457,"45-54","U","25-34K","Unknown","Single Male","1","None/Unknown","GROCERY","BAKED SWEET GOODS","SNACK CAKE - MULTI PACK"
"4929",4929,185,0,0,0,0,0,0,28,0,2411,34642613182,823704,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","BREAKFAST SAUSAGE/SANDWICHES","ROLLS - PORK"
"4957",4957,187,5,22.09,17.61,-4.48,0,0,28,0,42931,35688803096,983584,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FLUID MILK PRODUCTS","CHOCOLATE MILK"
"4985",4985,188,0,0,0,0,0,0,28,0,118959,40533303690,834833,NA,NA,NA,NA,NA,NA,NA,"GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE FRUIT DRINKS (NO JU"
"5013",5013,189,0,0,0,0,0,0,28,0,6932,34762190456,906611,NA,NA,NA,NA,NA,NA,NA,"DELI","SALADS/DIPS","VEGETABLE SALADS - BULK"
"5041",5041,190,0,0,0,0,0,0,28,0,580,34641890122,975329,NA,NA,NA,NA,NA,NA,NA,"GROCERY","DOG FOODS","DRY DOG FOOD SUPER PREM (ONE/N"
"5069",5069,191,0,0,0,0,0,0,28,0,49087,35840715083,862349,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY"
"5097",5097,192,0,0,0,0,0,0,28,0,8958,34812166786,827047,"45-54","A","35-49K","Homeowner","Single Male","2","None/Unknown","GROCERY","FRZN NOVELTIES/WTR ICE","STICKS/ENROBED"
"5125",5125,193,0,0,0,0,0,0,28,0,28967,35412918306,823176,"45-54","A","75-99K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","WAREHOUSE SNACKS","MISC SNACKS"
"5153",5153,194,0,0,0,0,0,0,28,0,11525,34850507100,888835,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRUIT - SHELF STABLE","FRUIT BOWL AND CUPS"
"5181",5181,195,0,0,0,0,0,0,28,0,4054,34664792213,821344,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CONVENIENT BRKFST/WHLSM SNACKS","FRUIT SNACKS"
"5209",5209,196,9,19.61,17.3,-2.31,0,0,28,0,1536,34642222489,829852,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CHEESE","SHREDDED CHEESE"
"5237",5237,197,33,57.85,53.74,-4.11,0,0,28,0,219,34641741940,1075214,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BATH TISSUES","TOILET TISSUE"
"5265",5265,198,47,134.84,115.22,-19.62,0,0,28,0,10433,34837595912,821761,"35-44","A","Under 15K","Homeowner","2 Adults Kids","3","1","GROCERY","ICE CREAM/MILK/SHERBTS","PAILS"
"5293",5293,199,14,39.38,36.49,-2.89,0,0,28,0,27881,35386640925,859237,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CANNED MILK","ASEPTIC MILK & MILK DRINKS"
"5321",5321,200,6,12.78,10.14,-2.64,0,0,28,0,1464,34642209122,931672,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX"
"5349",5349,201,15,41.62,37.06,-4.56,0,0,28,0,15262,35000592099,831815,"45-54","A","15-24K","Homeowner","2 Adults Kids","5+","3+","GROCERY","SOUP","RAMEN NOODLES/RAMEN CUPS"
"5377",5377,202,0,0,0,0,0,0,28,0,124326,40577822050,899624,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","POTATOES","POTATOES RUSSET (BULK&BAG)"
"5405",5405,203,5,14.7,14.7,0,0,0,28,0,13978,34873106529,830156,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FROZEN PIE/DESSERTS","FRZN WHIPPED TOPPING"
"5433",5433,204,2,6.07,5.98,-0.09,0,0,28,0,50213,35841262178,955043,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"5461",5461,205,82,343.33,292.96,-50.37,0,1,28,1,9315,34837186714,819840,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","PEPPERS-ALL","PEPPERS JALAPENO"
"5489",5489,206,0,0,0,0,0,0,28,0,215937,41544925657,840361,NA,NA,NA,NA,NA,NA,NA,"GROCERY","EGGS","EGGS - LARGE"
"5517",5517,207,0,0,0,0,0,0,28,0,17468,35080550874,1138189,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX"
"5545",5545,208,10,25.94,21.98,-3.56,-0.4,0,28,0,5287,34749055907,870372,"45-54","U","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","CANNED JUICES","TOMATO JUICE (OVER 50% JCE)"
"5573",5573,209,69,156.82,133.99,-21.73,-1.1,0,28,0,10304,34837552480,854943,"45-54","U","25-34K","Homeowner","2 Adults Kids","3","1","GROCERY","HOUSEHOLD CLEANG NEEDS","DRAIN CARE"
"5601",5601,210,3,8.97,8.97,0,0,0,28,0,12036,34850687793,860776,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","VEGETABLES - ALL OTHERS","CUCUMBERS"
"5629",5629,211,28,45.7,43.8,-1.9,0,0,28,0,4339,34664896936,907466,"65+","A","35-49K","Homeowner","Single Female","2","None/Unknown","GROCERY","WAREHOUSE SNACKS","CARAMEL COATED SNACKS"
"5657",5657,212,0,0,0,0,0,0,28,0,934,34642077147,845622,"35-44","U","Under 15K","Unknown","Single Female","1","None/Unknown","GROCERY","COCOA MIXES","MALTED MLK/SYRUP/PWDRS (EGGNOG"
"5685",5685,213,0,0,0,0,0,0,28,0,32060,35464325400,986912,NA,NA,NA,NA,NA,NA,NA,"DELI","PREPARED FOOD","PREP FD: SIDE DISHES (HOT)"
"5713",5713,214,10,58.42,43.54,-14.88,0,0,28,0,11379,34850428036,838258,"55-64","B","Under 15K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","YOGURT","YOGURT NOT MULTI-PACKS"
"5741",5741,215,0,0,0,0,0,0,28,0,4702,34665025149,821556,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CHEESE","SHREDDED CHEESE"
"5769",5769,216,0,0,0,0,0,0,28,0,2828,34642713150,825006,"35-44","U","50-74K","Homeowner","Unknown","1","None/Unknown","PRODUCE","APPLES","APPLES RED DELICIOUS (BULK&BAG"
"5797",5797,217,0,0,0,0,0,0,28,1,5339,34749100275,821562,NA,NA,NA,NA,NA,NA,NA,"GROCERY","DRY BN/VEG/POTATO/RICE","NOODLE SIDE DISH MIXES"
"5825",5825,218,0,0,0,0,0,0,28,0,22470,35145956366,965772,"45-54","A","15-24K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","SOFT DRINKS","SFT DRNK MLT-PK BTL CARB (EXCP"
"5853",5853,219,18,49.89,44.52,-5.37,0,0,28,1,176,34641720780,850529,"55-64","A","150-174K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","PAPER HOUSEWARES","PAPER AND FOAM DRINKING CUPS"
"5881",5881,220,0,0,0,0,0,0,28,0,2200,34642552178,839094,"45-54","A","35-49K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"5909",5909,221,0,0,0,0,0,0,28,0,978,34642097640,819978,"65+","U","15-24K","Unknown","Unknown","1","None/Unknown","DELI","CHEESES","CHEESE: PROCESSED BULK"
"5937",5937,222,36,104.71,94.14,-10.57,0,0,28,0,4746,34665041928,822785,"35-44","A","35-49K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","COCOA MIXES","MALTED MLK/SYRUP/PWDRS (EGGNOG"
"5965",5965,223,3,15.75,12.37,-3.38,0,0,28,0,5387,34749116560,6904775,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","VEGETABLES - ALL OTHERS","GREENS"
"5993",5993,224,0,0,0,0,0,0,28,0,15541,35000746621,838186,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED SWEET GOODS","SW GDS:DONUTS"
"6021",6021,225,0,0,0,0,0,0,28,0,221,34641747511,840361,NA,NA,NA,NA,NA,NA,NA,"GROCERY","EGGS","EGGS - LARGE"
"6049",6049,226,0,0,0,0,0,0,28,0,187327,41259860034,994928,NA,NA,NA,NA,NA,NA,NA,"GROCERY","EGGS","EGGS - MEDIUM"
"6077",6077,227,10,29.96,21.1,-8.86,0,0,28,0,4678,34665011229,840732,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN MEAT/MEAT DINNERS","FRZN SS PREMIUM ENTREES/DNRS/T"
"6105",6105,228,0,0,0,0,0,0,28,0,2099,34642501895,6979174,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FD WRAPS/BAGS/TRSH BG","PLASTIC TRASH BAGS"
"6133",6133,229,0,0,0,0,0,0,28,0,11888,34850642386,833025,NA,NA,NA,NA,NA,NA,NA,"GROCERY","MILK BY-PRODUCTS","SOUR CREAMS"
"6161",6161,230,26,58.2,48.3,-9.9,0,0,28,0,6033,34749293495,934697,"25-34","U","25-34K","Unknown","Single Female","1","None/Unknown","GROCERY","SOFT DRINKS","TEA CAN WITH SWEETENER/SUGAR"
"6189",6189,232,0,0,0,0,0,0,28,0,1,34577534849,995242,"35-44","U","35-49K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY"
"6217",6217,233,0,0,0,0,0,0,28,0,128256,40596126657,1029743,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FLUID MILK PRODUCTS","FLUID MILK WHITE ONLY"
"6245",6245,234,0,0,0,0,0,0,28,0,41265,35666345333,1130585,NA,NA,NA,NA,NA,NA,NA,"GROCERY","DRY MIX DESSERTS","PUDDINGS DRY"
"6273",6273,235,0,0,0,0,0,0,28,1,7164,34762227009,944018,"35-44","A","250K+","Homeowner","2 Adults Kids","5+","3+","GROCERY","DOMESTIC WINE","PREMIUM 750ML WINES"
"6301",6301,236,0,0,0,0,0,0,28,0,7725,34762485908,893501,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"6329",6329,237,0,0,0,0,0,0,28,0,215787,41532350787,825118,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CHEESE","LOAF CHEESE"
"6357",6357,238,0,0,0,0,0,0,28,0,32765,35486129686,1088560,NA,NA,NA,NA,NA,NA,NA,"DELI","CHEESES","CHEESE: PROCESSED BULK"
"6385",6385,239,41,88.67,76.64,-12.03,0,1,28,0,484,34641855614,857849,"45-54","U","50-74K","Renter","Unknown","1","None/Unknown","GROCERY","MARGARINES","MARGARINE  STICK"
"6413",6413,240,8,11.25,9.49,-1.76,0,1,28,0,222241,41599710264,914190,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CHEESE","CREAM CHEESE"
"6441",6441,241,0,0,0,0,0,0,28,0,144876,40751806337,819845,NA,NA,NA,NA,NA,NA,NA,"GROCERY","COUPON/MISC ITEMS","CAN DOG FOOD RATION (TRIX/VETS"
"6469",6469,242,2,7.38,7.38,0,0,0,28,0,14242,34873206360,826249,"45-54","A","75-99K","Homeowner","2 Adults Kids","5+","3+","GROCERY","BAKED BREAD/BUNS/ROLLS","HAMBURGER BUNS"
"6497",6497,243,45,80.54,75.3,-5.24,0,0,28,0,1836,34642428314,1026118,"65+","U","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","PRODUCE","TOMATOES","ROMA TOMATOES (BULK/PKG)"
"6525",6525,244,0,0,0,0,0,0,28,0,27980,35386690726,834117,NA,NA,NA,NA,NA,NA,NA,"GROCERY","WATER - CARBONATED/FLVRD DRINK","NON-CRBNTD DRNKING/MNERAL WATE"
"6553",6553,245,0,0,0,0,0,0,28,0,19925,35143877759,849264,NA,NA,NA,NA,NA,NA,NA,"GROCERY","DRY NOODLES/PASTA","NOODLES DRY"
"6581",6581,246,0,0,0,0,0,0,28,0,64366,40037611621,857849,NA,NA,NA,NA,NA,NA,NA,"GROCERY","MARGARINES","MARGARINE  STICK"
"6609",6609,247,9,17.83,17.83,0,0,0,28,0,33446,35486352333,895540,NA,NA,NA,NA,NA,NA,NA,"GROCERY","WATER - CARBONATED/FLVRD DRINK","DISTILLED WATER"
"6637",6637,248,112,342.92,288.96,-53.96,0,1,28,0,9423,34837250684,825731,"35-44","A","125-149K","Homeowner","2 Adults Kids","4","2","GROCERY","YOGURT","YOGURT MULTI-PACKS"
"6665",6665,249,1,3.46,2.19,-0.52,-0.75,0,28,0,4185,34664815336,819840,"35-44","A","Under 15K","Renter","Unknown","3","1","PRODUCE","PEPPERS-ALL","PEPPERS JALAPENO"
"6693",6693,250,29,61.2,56.57,-4.63,0,0,28,0,4597,34664981736,844165,"45-54","A","75-99K","Homeowner","1 Adult Kids","4","2","GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"6721",6721,251,7,9.03,9.03,0,0,0,28,0,8124,34811816931,828143,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CHEESE","MISCELLANEOUS CHEESE"
"6749",6749,253,0,0,0,0,0,0,28,1,12102,34850724131,879755,"45-54","U","Under 15K","Unknown","Single Female","1","None/Unknown","GROCERY","SOFT DRINKS","SFT DRNK SNGL SRV BTL CARB (EX"
"6777",6777,254,2,3.16,3.08,-0.08,0,0,28,1,11675,34850570161,822225,NA,NA,NA,NA,NA,NA,NA,"GROCERY","YOGURT","YOGURT MULTI-PACKS"
"6805",6805,255,0,0,0,0,0,0,28,0,60016,36030222873,847344,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOUP","CONDENSED SOUP"
"6833",6833,256,46,150.68,133.48,-14.45,-2.75,0,28,0,11573,34850543137,821695,"25-34","U","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","PASTRY","ROLLS","ROLLS: SANDWICH"
"6861",6861,257,23,89.07,73.65,-15.42,0,0,28,0,8206,34811912774,859075,"25-34","U","25-34K","Unknown","1 Adult Kids","3","2","GROCERY","CHEESE","SHREDDED CHEESE"
"6889",6889,258,17,41.72,32.9,-8.82,0,0,28,0,4384,34664902337,844023,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FRZN MEAT/MEAT DINNERS","SS ECONOMY ENTREES/DINNERS ALL"
"6917",6917,259,0,0,0,0,0,0,28,0,1472,34642216095,832768,NA,NA,NA,NA,NA,NA,NA,"GROCERY","CONVENIENT BRKFST/WHLSM SNACKS","GRANOLA BARS"
"6945",6945,260,14,29.33,28.73,-0.6,0,0,28,0,141229,40715462759,859427,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","SALAD MIX","BLENDS"
"6973",6973,261,0,0,0,0,0,0,28,0,428,34641838066,912269,NA,NA,NA,NA,NA,NA,NA,"GROCERY","PET CARE SUPPLIES","COLLARS AND LEADS"
"7001",7001,262,0,0,0,0,0,0,28,0,15484,35000681550,1112459,NA,NA,NA,NA,NA,NA,NA,"SEAFOOD-PCKGD","SEAFOOD - MISC","SEAFOOD-MISC-SAUCES/MARIN-WET"
"7029",7029,263,17,59.6,53.92,-5.68,0,0,28,1,262,34641798947,928049,"45-54","U","35-49K","Unknown","2 Adults No Kids","2","None/Unknown","GROCERY","BAKED SWEET GOODS","SNACK CAKE - MULTI PACK"
"7057",7057,264,0,0,0,0,0,0,28,0,23952,35219067857,871085,"45-54","U","75-99K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","BAKING NEEDS","BITS & MORSELS"
"7085",7085,265,0,0,0,0,0,0,28,1,146379,40765103834,878184,NA,NA,NA,NA,NA,NA,NA,"GROCERY","DOG FOODS","DRY DOG FOOD SUPER PREM (ONE/N"
"7113",7113,266,0,0,0,0,0,0,28,1,15245,35000586721,826249,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED BREAD/BUNS/ROLLS","HAMBURGER BUNS"
"7141",7141,267,0,0,0,0,0,0,28,0,5091,34748970618,908213,NA,NA,NA,NA,NA,NA,NA,"GROCERY","MEAT - SHELF STABLE","VIENNA SAUSAGE"
"7169",7169,268,0,0,0,0,0,0,28,0,5265,34749051889,844179,NA,NA,NA,NA,NA,NA,NA,"MEAT","BEEF","PRIMAL"
"7197",7197,269,37,108.64,91.85,-16.79,0,1,28,1,59744,36030061726,932694,NA,NA,NA,NA,NA,NA,NA,"MEAT-PCKGD","LUNCHMEAT","BOLOGNA"
"7225",7225,270,16,31.55,27.44,-4.11,0,0,28,0,95664,40335665829,845196,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BLEACH","LIQUID BLEACH"
"7253",7253,271,0,0,0,0,0,0,28,0,22060,35145836226,1036699,NA,NA,NA,NA,NA,NA,NA,"GROCERY","LAUNDRY DETERGENTS","POWDER LAUNDRY DETERGENT"
"7281",7281,273,5,17.53,16.18,-1.35,0,1,28,0,14685,34873377396,1053690,NA,NA,NA,NA,NA,NA,NA,"GROCERY","SOFT DRINKS","SFT DRNK 2 LITER BTL CARB INCL"
"7309",7309,274,0,0,0,0,0,0,28,0,152264,40813166249,920421,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED BREAD/BUNS/ROLLS","DINNER ROLLS"
"7337",7337,275,25,64.82,55.82,-9,0,1,28,0,1119,34642110224,907128,NA,NA,NA,NA,NA,NA,NA,"GROCERY","REFRGRATD JUICES/DRNKS","DAIRY CASE CITRUS PNCH/OJ SUBS"
"7365",7365,276,0,0,0,0,0,0,28,0,4648,34665000939,1053924,"35-44","U","35-49K","Unknown","Single Male","1","None/Unknown","PRODUCE","MUSHROOMS","MUSHROOMS W/WHOLE PKG"
"7393",7393,277,0,0,0,0,0,0,28,0,59515,36030006526,1069312,NA,NA,NA,NA,NA,NA,NA,"PRODUCE","VALUE ADDED FRUIT","INSTORE CUT FRUIT"
"7421",7421,278,2,14.98,13.98,-1,0,0,28,0,4409,34664907061,895680,NA,NA,NA,NA,NA,NA,NA,"GROCERY","FROZEN PIZZA","PIZZA/TRADITIONAL"
"7449",7449,279,0,0,0,0,0,0,28,0,17353,35080531308,887503,NA,NA,NA,NA,NA,NA,NA,"MEAT","SMOKED MEATS","PORK-FULLY COOKED"
"7477",7477,280,0,0,0,0,0,0,28,0,14700,34873401110,883404,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAKED BREAD/BUNS/ROLLS","MAINSTREAM WHITE BREAD"
"7505",7505,281,0,0,0,0,0,0,28,0,1882,34642437759,855454,"35-44","B","50-74K","Homeowner","Single Female","1","None/Unknown","GROCERY","TEAS","TEA BAGS & BULK TEA"
"7533",7533,282,2,4.22,3.78,-0.44,0,0,28,0,6677,34762045749,983688,"45-54","U","35-49K","Unknown","Single Female","1","None/Unknown","GROCERY","BEERS/ALES","BEERALEMALT LIQUORS"
"7561",7561,283,95,249.24,219.96,-29.28,0,1,28,0,10630,34837664028,971325,"25-34","A","50-74K","Homeowner","2 Adults No Kids","2","None/Unknown","GROCERY","CONDIMENTS/SAUCES","HOT SAUCE"
"7589",7589,284,0,0,0,0,0,0,28,0,251498,41865327092,996156,NA,NA,NA,NA,NA,NA,NA,"GROCERY","BAG SNACKS","POTATO CHIPS"
