"","household_key","DAY","QUANTITY","BASE_SPEND_AMT","NET_SPEND_AMT","LOY_CARD_DISC","COUPON_DISC","GET_EGGS"
"6222",989,49,11,38.51,33.97,-4.54,0,0
"6223",8,50,16,48.79,40.83,-7.96,0,0
"6224",18,50,47,190.06,158.9,-25.03,-6.13,0
"6225",25,50,25,55.95,49.19,-6.76,0,0
"6226",27,50,8,10.18,10.18,0,0,0
"6227",40,50,20,62.38,57.27,-5.11,0,1
"6228",48,50,3,8.94,7.97,-0.97,0,0
"6229",51,50,28,76.84,67.74,-9.1,0,0
"6230",52,50,3,14.86,13.87,-0.99,0,0
"6231",72,50,49,133.42,118.42,-15,0,1
"6232",77,50,3,7.4,6.8,-0.6,0,0
"6233",84,50,8,18.52,15.72,-2.8,0,0
"6234",95,50,20,49.17,36.69,-12.48,0,0
"6235",105,50,5,18.5,11.75,-6.75,0,0
"6236",109,50,18,49.04,45.02,-4.02,0,0
"6237",110,50,36,99.9,81.29,-18.61,0,0
"6238",115,50,36,110.85,96.54,-14.31,0,1
"6239",118,50,51,113.77,102.6,-11.17,0,0
"6240",131,50,9,34.17,24.47,-9.7,0,0
"6241",143,50,13,32.61,28.89,-3.72,0,0
"6242",144,50,3,6.43,5.23,-1.2,0,0
"6243",147,50,13,32.19,23.09,-9.1,0,0
"6244",155,50,25,64.01,56.04,-7.97,0,0
"6245",158,50,5,16.26,12.48,-3.78,0,0
"6246",164,50,5,11.51,8.25,-3.26,0,0
"6247",165,50,11,23.87,19.32,-4.35,-0.2,0
"6248",194,50,44,100.73,88.32,-12.41,0,1
"6249",196,50,4,8.23,7.14,-1.09,0,0
"6250",197,50,14,45.52,40.85,-4.67,0,0
"6251",205,50,24,54.32,53.02,-1.3,0,0
"6252",242,50,3,21.16,19.17,-1.99,0,0
"6253",253,50,9,30.32,21.15,-9.17,0,0
"6254",256,50,7,21.97,17.83,-4.14,0,0
"6255",283,50,57,170.73,152.1,-16.38,-2.25,0
"6256",285,50,2,3.07,2.48,-0.59,0,0
"6257",287,50,2,1.75,1.75,0,0,0
"6258",290,50,15,36.89,28,-8.89,0,0
"6259",294,50,2,5.99,5.99,0,0,0
"6260",301,50,3,16.46,15.87,-0.59,0,0
"6261",303,50,3,8.07,6.87,-1.2,0,0
"6262",307,50,2,6.4,6.4,0,0,0
"6263",309,50,51,164.12,144.08,-19.54,-0.5,0
"6264",319,50,44,91.44,83.02,-8.42,0,0
"6265",332,50,102,231.24,188.7,-42.54,0,1
"6266",353,50,58,202.17,162.32,-39.85,0,1
"6267",357,50,7,24.39,20.61,-3.78,0,1
"6268",358,50,6,28.02,26.24,-1.78,0,0
"6269",376,50,2,6.46,4.98,-1.48,0,0
"6270",380,50,53,127.3,103.28,-24.02,0,0
"6271",390,50,5,15.09,12.5,-2.59,0,0
"6272",400,50,17,62.02,59.6,-2.42,0,0
"6273",401,50,19,35.02,28.38,-6.64,0,0
"6274",412,50,34,84.69,64.1,-20.59,0,0
"6275",413,50,10,29.22,27,-2.22,0,0
"6276",421,50,21,46.71,36.44,-10.27,0,2
"6277",424,50,15,46.26,44,-2.26,0,0
"6278",441,50,10,26.46,26.1,-0.36,0,0
"6279",442,50,2,3.16,2.58,-0.58,0,0
"6280",445,50,1,1.78,1.39,-0.39,0,0
"6281",453,50,1,2.7,1.85,-0.85,0,0
"6282",461,50,4,8.44,7.41,-1.03,0,0
"6283",463,50,5,3.5,3.5,0,0,0
"6284",469,50,4,16.45,14.06,-2.39,0,0
"6285",479,50,80,258.26,193.26,-58.65,-6.35,0
"6286",483,50,61,93.63,90.33,-3.3,0,0
"6287",484,50,22,59.19,52.01,-7.18,0,0
"6288",487,50,3,6.96,6.44,-0.52,0,0
"6289",491,50,22,66.61,59.13,-7.48,0,0
"6290",492,50,47,144.7,120.19,-21.21,-3.3,0
"6291",493,50,7,18.18,16.39,-1.79,0,0
"6292",511,50,8,18.12,14,-4.12,0,0
"6293",534,50,3,5.66,4.67,-0.99,0,0
"6294",552,50,42,105.53,79.58,-25.95,0,0
"6295",564,50,3,20.76,16.87,-3.89,0,0
"6296",575,50,36,90.34,79.76,-10.58,0,0
"6297",581,50,13,33.63,29.58,-4.05,0,0
"6298",586,50,5,11.09,10.3,-0.79,0,0
"6299",593,50,7,13.85,10.29,-3.56,0,0
"6300",599,50,1,6.99,5.99,-1,0,0
"6301",602,50,53,138.58,122.55,-16.03,0,0
"6302",608,50,23,46.78,45,-1.78,0,0
"6303",611,50,9,40.52,33.15,-7.37,0,0
"6304",630,50,15,39.66,29.2,-10.46,0,1
"6305",631,50,12,19.8,17.41,-2.39,0,0
"6306",632,50,17,93.4,77.33,-16.07,0,0
"6307",637,50,16,41.83,34.5,-7.33,0,0
"6308",647,50,19,83.24,73.68,-9.56,0,0
"6309",658,50,6,12.45,9.35,-3.1,0,0
"6310",661,50,1,12.11,10.09,-2.02,0,0
"6311",664,50,10,20.97,19.41,-1.56,0,0
"6312",675,50,9,13.99,11.58,-2.41,0,0
"6313",676,50,10,27.65,23,-4.65,0,0
"6314",690,50,3,4.95,3.77,-1.18,0,0
"6315",706,50,5,16.52,13.75,-2.77,0,0
"6316",707,50,11,57.05,53,-4.05,0,1
"6317",714,50,5,12.25,10.14,-2.11,0,0
"6318",717,50,3,2.47,2.47,0,0,0
"6319",718,50,22,65.45,51.24,-14.21,0,0
"6320",733,50,33,35.38,31.47,-3.91,0,0
"6321",745,50,24,70.59,59.79,-10.8,0,0
"6322",762,50,11,23.69,21.91,-1.78,0,0
"6323",771,50,22,47.43,41.71,-5.72,0,0
"6324",789,50,6,25.24,23.72,-1.52,0,0
"6325",805,50,44,107.73,90,-17.73,0,0
"6326",815,50,8,21.56,19.32,-2.24,0,0
"6327",836,50,2,8.98,8.98,0,0,0
"6328",837,50,4,22.01,15.67,-6.34,0,0
"6329",838,50,9,14.22,11.61,-2.61,0,0
"6330",840,50,3,9.27,9.27,0,0,0
"6331",841,50,6,27.54,26.94,-0.6,0,0
"6332",845,50,32,95.53,80.01,-15.07,-0.45,1
"6333",850,50,9,18.61,14.89,-3.72,0,0
"6334",853,50,14,26.9,26,-0.9,0,0
"6335",859,50,26,63.58,55.78,-7.8,0,0
"6336",862,50,8,25.49,21.73,-3.76,0,0
"6337",866,50,20,86.9,67.78,-19.12,0,0
"6338",867,50,40,121.35,101.14,-17.16,-3.05,0
"6339",868,50,11,40.59,38.79,-1.8,0,0
"6340",877,50,42,100.54,89.44,-11.1,0,1
"6341",879,50,17,35.64,31.31,-4.33,0,0
"6342",882,50,1,3.35,3.27,-0.08,0,0
"6343",883,50,10,17.88,16.71,-1.17,0,0
"6344",892,50,13,42.47,32.89,-4.58,-5,0
"6345",895,50,18,84.26,75.93,-8.33,0,0
"6346",900,50,6,23.17,21.3,-1.87,0,0
"6347",906,50,31,36.9,27.59,-9.31,0,0
"6348",916,50,27,89.49,82.98,-6.51,0,1
"6349",922,50,9,38.68,37.51,-1.17,0,0
"6350",934,50,37,207.54,153.19,-53.35,-1,0
"6351",936,50,12,32.59,25.27,-7.32,0,0
"6352",940,50,3,6.35,5.77,-0.58,0,0
"6353",943,50,21,55.67,42.92,-12.75,0,0
"6354",950,50,20,56.25,49.99,-6.26,0,1
"6355",952,50,3,10.56,9.57,-0.99,0,0
"6356",955,50,1,6.67,6.67,0,0,0
"6357",957,50,2,6.28,6.28,0,0,0
"6358",7,51,52,134.85,115.09,-19.76,0,0
"6359",14,51,2,19.98,15.98,-4,0,0
"6360",19,51,8,11.17,10.08,-1.09,0,0
"6361",22,51,20,89.48,80.48,-8,-1,0
"6362",27,51,9,12.24,11.71,-0.53,0,0
"6363",31,51,56,134.36,100.76,-25.81,-7.79,1
"6364",38,51,3,18.87,17.27,-1.6,0,0
"6365",40,51,8,25.41,22.54,-2.87,0,0
"6366",41,51,17,48.59,41.52,-7.07,0,0
"6367",50,51,10,23.56,18.51,-5.05,0,0
"6368",68,51,10,17.94,16.92,-1.02,0,1
"6369",71,51,40,74.49,65.37,-9.12,0,0
"6370",74,51,20,41.39,32.28,-9.11,0,1
"6371",80,51,22,24.28,21.34,-2.94,0,0
"6372",93,51,13,42.84,39.63,-3.21,0,0
"6373",95,51,12,27.28,20.08,-7.2,0,0
"6374",97,51,15,42.86,34.21,-8.65,0,0
"6375",123,51,16,40.84,33.65,-7.19,0,0
"6376",125,51,27,72.54,60.3,-12.24,0,0
"6377",131,51,3,8.59,8.59,0,0,1
"6378",132,51,10,35.34,30.86,-4.48,0,0
"6379",135,51,2,11.93,11.14,-0.79,0,0
"6380",139,51,42,94.14,85.94,-8.2,0,0
"6381",141,51,4,10.47,9.48,-0.99,0,0
"6382",156,51,5,10.59,8.85,-1.74,0,0
"6383",162,51,2,6.49,5.99,-0.5,0,0
"6384",166,51,4,23.76,22.26,-1.5,0,0
"6385",192,51,8,21.41,21.21,-0.2,0,0
"6386",198,51,42,122.09,99.2,-22.89,0,0
"6387",212,51,16,48.65,43.57,-5.08,0,0
"6388",228,51,3,10.54,8.27,-2.27,0,0
"6389",232,51,14,50.62,40.24,-10.38,0,0
"6390",235,51,16,55.45,49.83,-5.62,0,0
"6391",245,51,11,38.17,29.66,-8.51,0,0
"6392",247,51,12,24.7,22.92,-1.78,0,0
"6393",250,51,32,138.48,122.24,-14.74,-1.5,0
"6394",263,51,8,26.1,22.94,-3.16,0,0
"6395",266,51,45,153.32,133.31,-20.01,0,1
"6396",277,51,92,293.83,225.49,-65.64,-2.7,0
"6397",290,51,17,19.64,16.97,-2.67,0,0
"6398",291,51,8,16.22,14.7,-1.52,0,0
"6399",301,51,1,11.48,8.99,-2.49,0,0
"6400",304,51,6,14.76,12.86,-1.9,0,0
"6401",310,51,11,28.53,24.38,-4.15,0,0
"6402",316,51,2,5.25,4.62,-0.63,0,0
"6403",328,51,15,38.79,34.65,-4.14,0,1
"6404",330,51,3,4.33,4.33,0,0,0
"6405",336,51,49,87.59,80.21,-7.38,0,1
"6406",340,51,8,28.83,27.07,-1.76,0,0
"6407",353,51,4,8.11,7.32,-0.79,0,0
"6408",366,51,6,12.84,10.36,-2.48,0,0
"6409",371,51,8,16.62,14.81,-1.81,0,0
"6410",378,51,8,11.27,8.65,-2.62,0,0
"6411",384,51,2,10.08,9.78,-0.3,0,0
"6412",386,51,1,2.18,1.59,-0.59,0,0
"6413",389,51,17,40.92,31.66,-9.26,0,1
"6414",391,51,1,7.99,7.99,0,0,0
"6415",392,51,24,120.37,117.04,-3.33,0,0
"6416",397,51,35,134.26,110.13,-20.53,-3.6,0
"6417",400,51,5,15.61,14.17,-1.44,0,0
"6418",401,51,6,15.96,15.34,-0.62,0,0
"6419",404,51,54,177.17,158.8,-18.37,0,0
"6420",410,51,2,6.36,4.18,-2.18,0,0
"6421",418,51,50,145.27,126.93,-18.34,0,0
"6422",421,51,3,8.44,5.97,-2.47,0,0
"6423",424,51,2,3.46,2.98,-0.48,0,0
"6424",425,51,68,157.74,133.86,-23.88,0,1
"6425",446,51,5,12.47,10.13,-2.34,0,0
"6426",457,51,3,8.44,5.97,-2.47,0,0
"6427",463,51,6,15.03,11.07,-3.96,0,0
"6428",469,51,10,18.72,14.84,-3.88,0,0
"6429",484,51,10,27.87,25.67,-2.2,0,0
"6430",485,51,13,56.5,45.03,-10.92,-0.55,0
"6431",493,51,8,19.54,17.32,-2.22,0,0
"6432",527,51,12,10.98,10.98,0,0,0
"6433",543,51,19,33.04,30.42,-2.62,0,0
"6434",546,51,14,36.6,29.44,-7.16,0,0
"6435",553,51,15,43.03,38.48,-4.55,0,0
"6436",567,51,12,37.01,35.07,-1.54,-0.4,0
"6437",568,51,16,12.35,11.29,-1.06,0,0
"6438",574,51,41,125.41,96.18,-24.23,-5,0
"6439",583,51,27,46.17,37.95,-8.22,0,0
"6440",588,51,8,19.11,14.51,-4.6,0,0
"6441",591,51,24,99.65,87.35,-12.3,0,0
"6442",606,51,2,7.98,7.98,0,0,0
"6443",608,51,5,10.23,10.23,0,0,0
"6444",609,51,2,2.58,2.58,0,0,0
"6445",622,51,1,15.99,15.99,0,0,0
"6446",624,51,1,2.59,2.59,0,0,0
"6447",625,51,2,23.61,23.61,0,0,0
"6448",631,51,22,89.47,74.19,-15.28,0,0
"6449",637,51,9,37.05,25.8,-11.25,0,0
"6450",641,51,23,72.24,61.34,-10.9,0,0
"6451",661,51,4,29.47,26.3,-3.17,0,0
"6452",669,51,2,5.02,4.25,-0.77,0,0
"6453",671,51,2,5.4,3.7,-1.7,0,0
"6454",672,51,6,13.02,10.1,-2.92,0,0
"6455",674,51,12,30,24.96,-5.04,0,0
"6456",675,51,3,4.25,3.67,-0.58,0,1
"6457",677,51,40,89.47,82.65,-6.82,0,0
"6458",682,51,9,23.81,20.37,-3.44,0,1
"6459",685,51,37,87.26,72.85,-14.41,0,0
"6460",693,51,7,21.69,17.73,-3.96,0,0
"6461",707,51,22,60.62,55.71,-4.91,0,0
"6462",712,51,9,27.68,26.01,-1.67,0,0
"6463",715,51,15,24.53,23.41,-1.12,0,0
"6464",718,51,22,79.89,70.75,-9.14,0,0
"6465",720,51,7,20.15,19.05,-1.1,0,0
"6466",724,51,1,3.99,3.99,0,0,0
"6467",727,51,18,44.11,39.26,-4.85,0,0
"6468",732,51,2,4.1,3.3,-0.8,0,0
"6469",734,51,2,8.78,8.38,-0.4,0,0
"6470",744,51,8,18.27,15.52,-2.75,0,0
"6471",751,51,8,23.25,18.37,-4.88,0,0
"6472",762,51,2,4.07,3.78,-0.29,0,0
"6473",764,51,10,33.22,29.59,-3.63,0,0
"6474",768,51,1,1,1,0,0,0
"6475",779,51,14,41.48,35.56,-5.92,0,0
"6476",785,51,6,16.35,14.45,-1.9,0,1
"6477",790,51,26,82.55,72.86,-9.69,0,0
"6478",793,51,1,11.99,9.99,-2,0,0
"6479",800,51,18,55.49,45.14,-10.35,0,0
"6480",803,51,14,34.62,28.81,-5.81,0,0
"6481",807,51,50,129.26,106.55,-22.71,0,0
"6482",808,51,6,16.9,14.84,-2.06,0,0
"6483",809,51,24,62.09,50.19,-11.9,0,0
"6484",816,51,2,27.78,22.38,-5.4,0,0
"6485",824,51,6,14.62,12.74,-1.88,0,0
"6486",830,51,5,12.29,10.5,-1.79,0,0
"6487",831,51,5,16.93,12.96,-3.97,0,0
"6488",843,51,8,26.97,24.79,-2.18,0,0
"6489",845,51,3,10.37,10.37,0,0,0
"6490",853,51,5,25.63,25.51,-0.12,0,0
"6491",864,51,20,40.56,38.29,-2.27,0,1
"6492",876,51,10,36.47,33.12,-3.35,0,0
"6493",882,51,7,17.04,13.61,-3.43,0,0
"6494",883,51,3,19.49,18.28,-1.21,0,0
"6495",889,51,29,80.7,68.94,-11.76,0,0
"6496",891,51,29,97.15,80.53,-16.62,0,0
"6497",895,51,4,19.44,19.44,0,0,0
"6498",900,51,9,24.34,22.66,-1.68,0,0
"6499",908,51,13,77.04,58.6,-18.44,0,0
"6500",913,51,23,80.46,70.3,-10.16,0,1
"6501",915,51,6,11.51,10.43,-1.08,0,0
"6502",918,51,11,25.58,18.17,-7.41,0,1
"6503",926,51,2,8.78,8.38,-0.4,0,0
"6504",936,51,1,1.89,1.79,-0.1,0,0
"6505",942,51,6,19.3,17.54,-1.76,0,0
"6506",944,51,11,35.9,32.73,-3.17,0,0
"6507",945,51,31,120.1,96.6,-23.5,0,2
"6508",956,51,2,8.42,8.42,0,0,0
"6509",957,51,2,1,1,0,0,0
"6510",962,51,2,16.36,11.18,-5.18,0,0
"6511",965,51,3,10.68,10.14,-0.54,0,0
"6512",968,51,28,96.44,73.3,-23.14,0,0
"6513",975,51,11,43.57,37.49,-6.08,0,0
"6514",979,51,7,65.46,61.62,-3.84,0,0
"6515",8,52,2,11.96,9.98,-1.98,0,0
"6516",14,52,1,1.19,1.19,0,0,0
"6517",19,52,1,3.09,2.69,-0.4,0,0
"6518",20,52,3,8.07,8.07,0,0,0
"6519",28,52,5,13.83,10.75,-3.08,0,0
"6520",34,52,2,18.28,15.28,-3,0,0
"6521",36,52,3,9.66,9.57,-0.09,0,0
"6522",46,52,43,104.86,95.37,-9.49,0,0
"6523",52,52,3,5.17,5.17,0,0,0
"6524",57,52,13,28.06,24.03,-4.03,0,0
"6525",58,52,25,88.36,75.67,-12.69,0,0
"6526",64,52,13,23.65,19.47,-4.18,0,0
"6527",65,52,1,25.99,21.99,-4,0,0
"6528",71,52,7,21,16.71,-4.29,0,0
"6529",105,52,2,2.78,2.78,0,0,0
"6530",126,52,6,18.25,14.47,-3.78,0,0
"6531",127,52,26,101.7,81.95,-19.25,-0.5,0
"6532",141,52,3,7.56,6.57,-0.99,0,0
"6533",144,52,1,4.64,3.99,-0.65,0,0
"6534",149,52,12,24.07,24.07,0,0,0
"6535",162,52,14,40.67,38.6,-2.07,0,1
"6536",165,52,18,93.08,67.99,-25.09,0,0
"6537",178,52,2,3.16,2.58,-0.58,0,0
"6538",184,52,20,18.97,17.49,-1.48,0,0
"6539",208,52,4,23.03,15.86,-7.17,0,0
"6540",209,52,3,6.18,5.4,-0.78,0,1
"6541",221,52,8,30.68,26.62,-2.96,-1.1,0
"6542",227,52,8,13.96,9.98,-3.98,0,0
"6543",247,52,13,17.99,17.99,0,0,0
"6544",248,52,32,117.26,107.28,-9.98,0,1
"6545",249,52,16,34.02,29.21,-4.81,0,1
"6546",253,52,56,140.35,108.14,-31.21,-1,1
"6547",257,52,28,82.85,65.9,-16.95,0,1
"6548",263,52,8,24.06,22.55,-1.51,0,0
"6549",264,52,13,34.14,28.58,-5.56,0,0
"6550",273,52,3,5.15,3.97,-1.18,0,0
"6551",275,52,4,9.2,8.26,-0.94,0,0
"6552",287,52,14,27.93,24.83,-3.1,0,0
"6553",297,52,36,111.73,92.67,-19.06,0,0
"6554",304,52,6,30.86,22.34,-8.52,0,0
"6555",306,52,6,14.37,10.64,-3.73,0,1
"6556",307,52,5,9.78,7.77,-2.01,0,0
"6557",314,52,25,27.94,24.78,-3.16,0,0
"6558",318,52,1,8.59,8.29,-0.3,0,0
"6559",328,52,9,20.19,18.19,-2,0,0
"6560",333,52,18,63.99,50.65,-13.34,0,1
"6561",334,52,18,61.62,53.8,-6.32,-1.5,0
"6562",343,52,11,70.47,65.05,-5.42,0,1
"6563",345,52,15,47.29,37.24,-10.05,0,0
"6564",346,52,33,59.18,53.47,-5.71,0,1
"6565",361,52,39,79.77,64.3,-15.47,0,0
"6566",370,52,14,26.7,25.14,-1.56,0,0
"6567",384,52,2,9.78,9.18,-0.6,0,0
"6568",387,52,28,134.48,119.36,-15.12,0,0
"6569",395,52,2,1.18,1.18,0,0,0
"6570",396,52,11,44.75,35.93,-8.82,0,1
"6571",409,52,4,7.72,6,-1.72,0,0
"6572",411,52,1,1.29,1.29,0,0,0
"6573",417,52,15,40.1,31.95,-8.15,0,1
"6574",438,52,29,105.67,85.99,-16.83,-2.85,1
"6575",445,52,2,15.07,14.78,-0.29,0,0
"6576",454,52,9,22.66,18.76,-2.8,-1.1,0
"6577",463,52,2,2.9,2.9,0,0,0
"6578",489,52,36,104.27,87.63,-16.64,0,1
"6579",510,52,1,5.39,4.99,-0.4,0,0
"6580",511,52,3,7.96,5.98,-1.98,0,0
"6581",513,52,31,181.54,139.66,-41.88,0,0
"6582",540,52,13,48.46,41.74,-5.92,-0.8,0
"6583",542,52,2,3.63,2.98,-0.65,0,0
"6584",548,52,4,13.46,12.94,-0.52,0,0
"6585",560,52,3,9.81,8.57,-1.24,0,0
"6586",567,52,11,46.52,34.79,-11.73,0,0
"6587",586,52,5,12.61,12.02,-0.59,0,0
"6588",591,52,9,37.34,32.62,-3.22,-1.5,0
"6589",623,52,8,17.86,16.13,-1.73,0,0
"6590",637,52,3,6.45,4.87,-1.58,0,0
"6591",641,52,3,12.49,10.62,-1.87,0,0
"6592",654,52,2,6.58,6.58,0,0,0
"6593",675,52,1,1.59,1.29,-0.3,0,0
"6594",676,52,1,5.19,4.59,-0.6,0,0
"6595",696,52,14,32.96,31.02,-1.94,0,0
"6596",699,52,43,153.73,139.94,-13.79,0,1
"6597",702,52,10,51.14,42.91,-8.23,0,0
"6598",718,52,1,1.58,1.29,-0.29,0,0
"6599",722,52,44,142.28,117.84,-24.44,0,0
"6600",744,52,19,59.94,49.05,-10.89,0,2
"6601",762,52,16,71.39,64.61,-6.78,0,0
"6602",768,52,20,27.86,22.81,-5.05,0,0
"6603",778,52,2,6.18,5.09,-1.09,0,0
"6604",782,52,6,15.09,14.3,-0.79,0,0
"6605",785,52,1,3.29,2.99,-0.3,0,0
"6606",787,52,4,8.27,7.11,-1.16,0,0
"6607",800,52,2,6.58,5.78,-0.8,0,0
"6608",817,52,11,26.4,22.94,-3.46,0,0
"6609",820,52,62,167.45,137.44,-29.71,-0.3,0
"6610",831,52,36,138.36,124.02,-14.34,0,0
"6611",853,52,4,28.95,27.16,-1.79,0,0
"6612",871,52,49,171.94,155.27,-16.67,0,0
"6613",893,52,64,199.3,173.13,-26.17,0,1
"6614",898,52,5,14.46,12.55,-1.91,0,0
"6615",900,52,1,0.69,0.69,0,0,0
"6616",914,52,10,21.02,19.03,-1.99,0,0
"6617",926,52,9,22.05,21.03,-1.02,0,0
"6618",933,52,2,4.56,3.78,-0.78,0,0
"6619",934,52,9,32.84,24.73,-8.11,0,0
"6620",936,52,1,3.89,3.29,-0.6,0,0
"6621",939,52,20,30.89,27.6,-3.29,0,0
"6622",952,52,6,14.59,12.96,-1.63,0,0
"6623",983,52,3,17.37,15.07,-2.3,0,0
"6624",996,52,17,35.13,28.77,-6.36,0,0
"6625",13,53,4,9.98,9.18,-0.8,0,0
"6626",18,53,1,2.99,2.99,0,0,0
"6627",19,53,12,22.44,18.75,-3.69,0,0
"6628",20,53,8,19.38,16.82,-2.56,0,0
"6629",27,53,5,11.97,11.17,-0.8,0,0
"6630",33,53,8,36.29,29.32,-6.97,0,0
"6631",35,53,4,12.74,11.36,-1.38,0,0
"6632",46,53,7,18.02,16.21,-1.81,0,0
"6633",52,53,33,86.73,80.34,-6.39,0,0
"6634",57,53,12,31.98,30.24,-1.74,0,0
"6635",69,53,6,19.95,15.72,-4.23,0,0
"6636",91,53,6,9.12,8.23,-0.89,0,0
"6637",101,53,34,80.91,64.62,-16.29,0,0
"6638",109,53,5,13.69,10.78,-2.91,0,0
"6639",127,53,2,6.23,4.68,-1.55,0,0
"6640",142,53,7,11.97,11.73,-0.24,0,0
"6641",161,53,12,19.07,17.56,-1.51,0,0
"6642",189,53,8,28.62,23.63,-4.99,0,0
"6643",201,53,11,16.64,14.88,-1.76,0,0
"6644",210,53,9,30.29,23.63,-6.66,0,0
"6645",219,53,46,159.26,140.61,-18.65,0,2
"6646",253,53,31,64.55,56.32,-8.23,0,0
"6647",275,53,7,22.22,15.57,-6.65,0,0
"6648",276,53,6,46.98,39.82,-7.16,0,0
"6649",278,53,5,40.11,29.55,-10.56,0,0
"6650",302,53,5,15.52,13.07,-2.45,0,0
"6651",307,53,4,8.06,7.26,-0.8,0,0
"6652",329,53,3,1.66,1.66,0,0,0
"6653",330,53,1,0.89,0.89,0,0,0
"6654",358,53,4,24.74,24.64,-0.1,0,0
"6655",371,53,56,194.78,150.34,-44.44,0,1
"6656",376,53,4,8.2,6.79,-1.41,0,0
"6657",377,53,7,22.33,17.81,-4.52,0,1
"6658",381,53,27,55.98,50.59,-5.39,0,0
"6659",386,53,20,117.62,80.53,-37.09,0,1
"6660",389,53,1,1.65,1.24,-0.41,0,0
"6661",391,53,23,91.43,79.7,-11.73,0,0
"6662",411,53,4,8.52,7.61,-0.91,0,0
"6663",418,53,11,30.26,25.31,-4.95,0,0
"6664",423,53,5,9.53,8.75,-0.78,0,0
"6665",432,53,2,1.34,1.34,0,0,0
"6666",433,53,11,14.1,13.69,-0.41,0,1
"6667",442,53,1,1.58,1.29,-0.29,0,0
"6668",454,53,18,29.41,24.45,-4.96,0,0
"6669",463,53,4,8.12,8.12,0,0,0
"6670",464,53,4,9.81,8.79,-1.02,0,0
"6671",467,53,2,1.51,1.51,0,0,0
"6672",468,53,26,66.09,56.64,-9.45,0,0
"6673",526,53,4,16.32,15.42,-0.9,0,0
"6674",527,53,12,51.15,41.73,-9.42,0,0
"6675",534,53,1,0.99,0.99,0,0,0
"6676",539,53,9,40.66,28.71,-11.95,0,0
"6677",553,53,9,19.4,17.91,-1.49,0,0
"6678",567,53,13,38.21,33.69,-4.52,0,0
"6679",576,53,22,49.83,43.75,-6.08,0,0
"6680",581,53,10,30.67,28.21,-2.46,0,0
"6681",583,53,3,4.2,3.85,-0.35,0,0
"6682",597,53,17,38.25,35.11,-3.14,0,0
"6683",598,53,14,47.01,42.76,-4.25,0,0
"6684",609,53,7,13.47,10.96,-2.51,0,0
"6685",618,53,18,24.84,23.41,-1.43,0,1
"6686",622,53,4,32.12,21.56,-10.56,0,0
"6687",631,53,22,63.28,58.7,-4.58,0,0
"6688",670,53,11,46.54,39.35,-7.19,0,0
"6689",676,53,3,3.47,3.47,0,0,0
"6690",682,53,19,81.13,59.11,-22.02,0,1
"6691",687,53,18,43.78,32.59,-11.19,0,0
"6692",696,53,12,48.23,35.48,-12.75,0,0
"6693",705,53,3,7.98,6.99,-0.99,0,0
"6694",714,53,15,46.54,37.6,-8.94,0,0
"6695",718,53,5,11.03,10.25,-0.78,0,0
"6696",744,53,1,6.7,4.79,-1.91,0,0
"6697",762,53,3,5.37,5.37,0,0,0
"6698",768,53,6,11.45,10.27,-1.18,0,0
"6699",772,53,2,1.56,1.21,-0.35,0,0
"6700",777,53,2,1,1,0,0,0
"6701",781,53,23,102.26,82.63,-19.63,0,0
"6702",788,53,5,13.51,10.95,-2.56,0,0
"6703",797,53,9,28.2,26.12,-2.08,0,0
"6704",806,53,19,41.71,36.99,-4.72,0,0
"6705",807,53,1,3.28,2.39,-0.89,0,0
"6706",816,53,50,114.76,104.22,-9.54,-1,1
"6707",825,53,32,94.85,80.52,-14.33,0,1
"6708",831,53,2,5.98,5.98,0,0,0
"6709",835,53,8,15.12,15.12,0,0,0
"6710",836,53,7,18.02,14.15,-3.87,0,0
"6711",843,53,13,34.93,32.65,-2.28,0,0
"6712",844,53,12,35.42,30.46,-4.96,0,0
"6713",847,53,8,28.52,24.47,-4.05,0,0
"6714",849,53,16,57.45,56.74,-0.71,0,0
"6715",853,53,3,21.36,21.17,-0.19,0,0
"6716",862,53,25,66.85,55.86,-10.99,0,0
"6717",869,53,11,16.05,12.91,-3.14,0,0
"6718",894,53,4,17.83,12.86,-0.38,-4.59,0
"6719",900,53,1,0.69,0.69,0,0,0
"6720",914,53,7,17.94,15.65,-2.29,0,0
"6721",934,53,27,47.97,42.45,-5.52,0,0
"6722",937,53,52,113.08,101.07,-12.01,0,0
"6723",942,53,6,10.94,10.94,0,0,0
"6724",943,53,44,125.55,98.83,-25.67,-1.05,1
"6725",946,53,22,41.75,33.87,-7.88,0,1
"6726",949,53,10,44.54,33.64,-10.65,-0.25,0
"6727",950,53,10,27.23,22.76,-4.47,0,0
"6728",956,53,1,3.49,3.49,0,0,0
"6729",957,53,5,11.83,11.73,-0.1,0,0
"6730",959,53,7,17.37,16.81,-0.56,0,0
"6731",971,53,9,21.01,18.68,-2.33,0,1
"6732",982,53,11,24.18,21.09,-3.09,0,0
"6733",983,53,59,131.68,117.87,-11.91,-1.9,1
"6734",989,53,6,35.45,26.04,-9.41,0,0
"6735",996,53,6,4.44,4.15,-0.29,0,0
"6736",1000,53,17,45.04,39.9,-5.14,0,0
"6737",8,54,2,10.07,9.78,-0.29,0,0
"6738",19,54,85,208.61,171.31,-37.3,0,0
"6739",20,54,12,49.32,40.98,-8.34,0,0
"6740",33,54,2,6.36,5.18,-1.18,0,0
"6741",36,54,2,9.78,8.98,-0.8,0,0
